"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"40",40,1,1,3,1,0,4,7,3,4,3,5,2,2,2,2,1,2,2,5,4,3,4,2,4,3,4,2,2,3,3,5,5,5,4,3,4,4,3,3,3,3,0,0,1,4,4,1,4,1
"41",41,1,1,3,1,0,5,6,4,2,3,3,4,3,4,4,3,4,4,5,3,3,5,2,4,4,5,3,2,3,3,3,3,2,1,2,3,3,3,1,2,4,0,0,0,4,4,1,2,1
"42",42,1,1,1,1,0,4,6,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,4,5,4,3,3,3,3,3,3,3,3,4,4,2,2,3,2,4,0,0,0,3,1,3,3,0
"43",43,1,1,2,1,0,NA,NA,4,4,4,4,3,4,4,4,4,3,3,4,4,2,5,4,5,5,5,4,1,2,3,3,3,2,3,2,4,3,3,3,4,3,0,0,1,4,1,2,95,1
"44",44,1,1,4,1,0,6,NA,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,3,2,2,1,3,1,1,1,1,1,1,1,2,1,1,3,0,0,0,1,4,1,5,0
"45",45,1,1,3,1,0,4,8,4,4,4,4,3,3,4,4,3,98,2,3,3,3,3,4,3,4,4,4,2,3,4,3,3,3,4,4,4,3,3,3,4,97,1,1,0,2,4,1,5,0
"46",46,1,1,4,1,0,4,6,3,2,2,3,3,98,98,4,3,3,3,2,3,1,4,4,3,5,5,3,1,1,2,4,5,4,3,2,4,3,3,4,1,97,1,0,0,1,3,1,1,0
"47",47,1,1,2,1,0,5,5,4,5,4,4,4,4,4,5,3,5,4,3,3,2,4,3,2,5,5,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,0,0,1,3,2,2,2,0
"48",48,1,1,4,1,0,5,5,4,4,4,4,4,3,4,4,3,2,4,4,4,4,3,3,3,4,4,3,3,2,3,2,2,3,2,3,3,3,3,3,4,3,1,0,1,3,2,3,1,0
"49",49,1,1,1,2,0,4,4,4,4,3,4,4,98,4,98,98,98,98,4,4,4,4,4,3,4,5,3,2,2,3,3,3,3,4,3,3,3,3,4,1,4,0,0,1,3,1,1,1,1
"50",50,1,1,4,2,0,3,4,4,4,4,5,5,5,4,4,4,3,3,4,4,5,5,5,4,4,3,4,1,3,1,5,5,5,4,3,4,4,4,3,2,2,0,0,0,1,3,1,4,0
"51",51,1,1,1,1,0,4,8,3,3,3,4,3,3,3,3,3,3,3,5,4,3,5,4,5,5,5,3,3,2,3,3,5,3,4,5,4,4,4,3,3,3,0,0,1,3,3,1,5,0
"52",52,1,1,2,1,0,5,5,3,4,4,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,5,4,3,3,3,3,4,5,3,3,3,4,3,3,4,3,0,0,1,3,4,1,95,0
"53",53,1,1,2,2,0,6,6,5,5,3,5,4,98,5,5,4,4,4,5,5,4,5,5,5,5,5,3,3,3,2,3,3,4,3,3,2,5,4,4,3,2,1,1,0,2,2,2,1,0
"54",54,1,1,3,1,0,2,3,3,3,3,2,3,2,3,3,3,4,3,2,3,2,2,2,2,4,3,3,3,3,3,2,4,3,3,3,4,2,2,3,2,3,0,0,0,2,2,3,4,0
"55",55,1,1,4,1,0,9,6,3,3,3,3,2,4,4,4,98,4,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,2,4,1,1,0,2,2,2,3,0
"56",56,1,1,4,1,0,6,7,3,2,3,1,3,1,2,3,2,3,3,3,3,3,4,3,2,5,5,3,4,3,4,4,5,4,3,3,4,4,3,4,3,5,0,0,1,1,2,2,2,1
"57",57,1,1,4,1,0,5,5,4,3,3,4,2,3,3,2,3,3,1,3,3,2,5,3,5,2,5,3,1,3,3,2,2,3,4,4,3,1,1,1,2,90,0,0,0,4,4,1,95,1
"58",58,1,1,3,1,0,3,6,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,2,3,4,4,4,2,3,3,3,2,3,4,4,3,2,2,2,2,2,0,0,0,4,3,1,1,1
"59",59,1,1,4,1,0,5,11,4,5,4,5,4,5,4,4,4,4,4,5,0,4,5,4,5,1,4,2,1,2,2,2,2,5,5,5,4,2,2,3,1,2,0,0,1,3,3,1,4,1
"60",60,1,1,4,1,0,2,2,4,4,5,5,4,4,5,5,4,3,4,5,5,5,4,4,5,4,5,5,3,3,4,3,4,4,4,4,3,2,4,4,1,97,1,0,1,4,2,3,1,1
"61",61,1,1,1,1,0,6,7,4,4,4,5,98,98,98,4,5,3,98,4,4,4,5,4,4,4,5,5,3,4,3,2,2,2,5,5,5,2,2,2,3,4,NA,99,1,3,2,1,4,1
"62",62,1,1,4,2,0,2,2,2,3,4,4,4,4,4,4,4,4,98,3,4,3,5,4,5,5,5,3,3,3,2,3,3,3,4,4,3,3,2,3,2,3,0,0,1,4,1,1,1,1
"63",63,1,1,4,1,0,3,5,3,3,3,3,3,2,3,3,2,3,2,4,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,3,3,4,2,4,0,0,1,4,2,1,4,0
"64",64,1,1,2,1,0,3,5,4,4,4,5,5,4,5,5,3,4,4,4,4,3,4,4,3,4,5,4,3,2,3,2,4,4,4,3,4,2,3,3,4,3,0,0,0,2,4,1,5,0
"65",65,1,1,4,1,0,5,3,3,4,5,4,3,3,4,4,3,4,3,4,4,4,4,4,4,5,5,4,3,3,4,4,4,5,4,4,4,4,4,4,1,4,0,0,1,1,2,3,2,0
"66",66,1,1,2,1,0,6,6,2,3,3,4,5,2,4,4,5,5,4,4,3,3,5,4,4,4,5,4,2,3,3,2,4,3,4,4,4,3,3,3,1,3,0,0,0,4,1,2,2,1
"67",67,1,1,1,1,0,5,7,3,2,5,2,2,1,3,4,4,4,3,5,4,4,3,4,4,5,4,3,5,3,2,4,4,4,5,4,3,4,4,4,4,4,0,0,0,1,2,2,1,0
"68",68,1,1,4,1,0,4,5,3,3,3,3,4,2,4,4,3,4,4,4,5,5,5,5,5,5,5,5,3,4,3,5,5,4,5,5,5,5,4,4,2,4,0,0,0,2,2,1,2,0
"69",69,1,1,2,1,0,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,4,3,3,5,5,3,3,4,3,3,3,3,3,3,3,2,2,2,1,3,0,0,1,3,2,1,95,1
"70",70,1,1,4,1,0,3,3,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,2,4,3,4,4,4,4,4,3,3,3,4,4,1,1,1,1,1,4,1,3,0
"71",71,1,1,3,1,0,7,7,4,4,2,5,4,5,5,2,2,2,5,5,5,3,5,5,5,5,5,5,5,3,2,3,4,4,4,4,4,2,2,3,3,3,1,0,0,3,2,4,1,0
"72",72,1,1,2,1,0,5,4,1,1,1,1,1,1,3,1,3,4,3,3,1,1,3,3,1,2,5,3,2,1,3,1,3,2,4,1,3,1,1,1,1,90,1,1,0,1,2,3,3,0
"73",73,1,1,1,1,0,5,7,1,2,1,3,4,3,5,5,5,5,5,1,1,1,3,2,3,3,3,1,4,1,4,3,3,3,3,3,3,3,2,3,4,3,0,0,0,2,4,3,2,0
"74",74,1,1,1,1,0,6,3,3,4,3,4,4,98,4,98,98,4,98,4,5,4,5,5,5,5,5,2,4,3,3,4,5,5,4,4,4,5,5,4,1,97,0,0,1,1,4,3,1,0
